volume,position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,y_danceability,y_energy,y_loudness,y_speechiness,y_acousticness,y_instrumentalness,y_liveness,y_valence,y_tempo
28,4,0.457,0.477,-9.323,0.102,0.281,0.000822,0.0914,0.627,144.855,0.599,0.521,-16.298,0.0462,0.0941,0.862,0.121,0.192,119.975
28,5,0.599,0.521,-16.298,0.0462,0.0941,0.862,0.121,0.192,119.975,0.76,0.686,-6.161,0.0584,0.0674,0.192,0.171,0.555,129.984
28,6,0.76,0.686,-6.161,0.0584,0.0674,0.192,0.171,0.555,129.984,0.654,0.535,-13.87,0.0337,0.088,0.903,0.0784,0.0392,112.028
28,7,0.654,0.535,-13.87,0.0337,0.088,0.903,0.0784,0.0392,112.028,0.661,0.534,-12.794,0.1,0.613,0.877,0.126,0.189,120.007
28,8,0.661,0.534,-12.794,0.1,0.613,0.877,0.126,0.189,120.007,0.775,0.477,-9.351,0.0582,0.0288,0.53,0.0731,0.743,118.014
28,9,0.775,0.477,-9.351,0.0582,0.0288,0.53,0.0731,0.743,118.014,0.744,0.924,-7.633,0.0451,0.0107,0.893,0.411,0.401,117.981
28,10,0.744,0.924,-7.633,0.0451,0.0107,0.893,0.411,0.401,117.981,0.475,0.664,-8.303,0.0502,0.467,0.0819,0.117,0.0482,116.934
28,11,0.475,0.664,-8.303,0.0502,0.467,0.0819,0.117,0.0482,116.934,0.656,0.685,-9.618,0.0768,0.0384,0.916,0.0932,0.266,110.017
28,12,0.656,0.685,-9.618,0.0768,0.0384,0.916,0.0932,0.266,110.017,0.712,0.601,-8.968,0.062,1.09e-05,0.802,0.0982,0.513,124.912
27,1,0.234,0.0885,-31.94,0.0344,0.988,0.957,0.143,0.56,156.981,0.513,0.49,-15.725,0.0402,0.941,0.913,0.13,0.0398,170.043
27,2,0.513,0.49,-15.725,0.0402,0.941,0.913,0.13,0.0398,170.043,0.566,0.459,-17.352,0.0355,0.774,0.908,0.073,0.157,114.993
27,3,0.566,0.459,-17.352,0.0355,0.774,0.908,0.073,0.157,114.993,0.457,0.742,-7.78,0.11,0.0363,0.803,0.382,0.348,173.863
27,4,0.457,0.742,-7.78,0.11,0.0363,0.803,0.382,0.348,173.863,0.568,0.609,-8.23,0.0278,0.497,0.897,0.108,0.53,147.053
